"","ANSWER","text","display"
"1","No","1","Melodia"
"2","Yes","2","Melodia"
"3","Yes","3","Melodia"
"4","No","4","Melodia"
"5","No","5","Melodia"
"6","Yes","6","Melodia"
"7","Yes","7","Melodia"
"8","No","8","Melodia"
"9","No","9","Melodia"
"10","Yes","10","Melodia"
"11","Yes","11","Melodia"
"12","No","12","Melodia"
"13","Yes","13","Melodia"
"14","Yes","14","Melodia"
"15","Yes","15","Melodia"
"16","No","16","Melodia"
"17","Yes","17","Melodia"
"18","No","18","Melodia"
"19","Yes","19","Melodia"
"20","No","20","Melodia"
"21","No","21","Melodia"
"22","No","22","Melodia"
"23","No","23","Melodia"
"24","No","24","Melodia"
"25","No","25","Melodia"
"26","No","26","Melodia"
"27","Yes","27","Melodia"
"28","Yes","28","Melodia"
"29","No","29","Melodia"
"30","Yes","30","Melodia"
"31","Yes","31","Melodia"
"32","Yes","32","Melodia"
"33","Yes","33","Melodia"
"34","No","34","Melodia"
"35","Yes","35","Melodia"
"36","No","36","Melodia"
"37","Yes","37","Melodia"
"38","Yes","38","Melodia"
"39","No","39","Melodia"
"40","Yes","40","Melodia"
"41","No","41","Melodia"
"42","Yes","42","Melodia"
"43","No","43","Melodia"
"44","Yes","44","Melodia"
"45","No","45","Melodia"
"46","No","46","Melodia"
"47","No","47","Melodia"
"48","Yes","48","Melodia"
"49","Yes","49","Melodia"
"50","No","50","Melodia"
"51","No","51","Melodia"
"52","Yes","52","Melodia"
"53","No","1","Ritmo"
"54","No","2","Ritmo"
"55","Yes","3","Ritmo"
"56","No","4","Ritmo"
"57","No","5","Ritmo"
"58","Yes","6","Ritmo"
"59","Yes","7","Ritmo"
"60","Yes","8","Ritmo"
"61","Yes","9","Ritmo"
"62","No","10","Ritmo"
"63","Yes","11","Ritmo"
"64","No","12","Ritmo"
"65","No","13","Ritmo"
"66","Yes","14","Ritmo"
"67","No","15","Ritmo"
"68","Yes","16","Ritmo"
"69","No","17","Ritmo"
"70","Yes","18","Ritmo"
"71","No","19","Ritmo"
"72","No","20","Ritmo"
"73","No","21","Ritmo"
"74","No","22","Ritmo"
"75","Yes","23","Ritmo"
"76","Yes","24","Ritmo"
"77","Yes","25","Ritmo"
"78","Yes","26","Ritmo"
"79","Yes","27","Ritmo"
"80","No","28","Ritmo"
"81","No","29","Ritmo"
"82","Yes","30","Ritmo"
"83","No","31","Ritmo"
"84","Yes","32","Ritmo"
"85","No","33","Ritmo"
"86","No","34","Ritmo"
"87","Yes","35","Ritmo"
"88","No","36","Ritmo"
"89","Yes","37","Ritmo"
"90","Yes","38","Ritmo"
"91","No","39","Ritmo"
"92","Yes","40","Ritmo"
"93","No","41","Ritmo"
"94","No","42","Ritmo"
"95","Yes","43","Ritmo"
"96","Yes","44","Ritmo"
"97","Yes","45","Ritmo"
"98","No","46","Ritmo"
"99","Yes","47","Ritmo"
"100","No","48","Ritmo"
"101","Yes","49","Ritmo"
"102","Yes","50","Ritmo"
"103","No","51","Ritmo"
"104","No","52","Ritmo"
"105","","",""
