,subject,bmrq_all,bmrq_ms,bmrq_ee,bmrq_mr,bmrq_sm,bmrq_sw,gengage,gemot,gsing,gpercep,gtrain,ggen,id
62,5e98892e73a9eb0add1df94a,4.9,4.75,5.0,5.0,5.0,4.75,48.0,22.0,29.0,45.0,31.0,75.0,5e98892e73a9eb0add1df94a
64,5b09e14b641b1200010eab6c,3.35,3.25,4.0,4.0,2.0,3.5,36.0,26.0,33.0,45.0,32.0,78.0,5b09e14b641b1200010eab6c
65,614e13f090d6fdfc820626bd,4.1,4.75,4.25,4.25,3.5,3.75,44.0,20.0,22.0,46.0,33.0,69.0,614e13f090d6fdfc820626bd
66,60fd0bf302847fa8d1186dc6,4.0,4.75,4.75,4.0,4.75,1.75,51.0,25.0,23.0,45.0,37.0,76.0,60fd0bf302847fa8d1186dc6
67,614a03baac82415bf7979cf5,4.0,3.75,4.5,4.0,4.25,3.5,40.0,24.0,29.0,47.0,33.0,81.0,614a03baac82415bf7979cf5
68,610421096c1af729ade5aac1,3.4,2.5,4.0,3.5,4.0,3.0,36.0,22.0,34.0,40.0,39.0,81.0,610421096c1af729ade5aac1
69,6112ef699d617464990fd01d,3.7,3.75,4.0,4.0,3.5,3.25,40.0,29.0,31.0,41.0,32.0,72.0,6112ef699d617464990fd01d
70,614e60f127b9ed6c4f9de15b,4.6,4.75,4.0,4.75,5.0,4.5,44.0,21.0,25.0,47.0,36.0,77.0,614e60f127b9ed6c4f9de15b
71,614ddb9d285d4590deb44706,2.9,2.5,3.5,4.0,2.75,1.75,29.0,26.0,30.0,38.0,31.0,74.0,614ddb9d285d4590deb44706
72,5d9b25688e606502933d4a7a,1.6,1.5,1.75,1.0,2.5,1.25,36.0,36.0,30.0,30.0,35.0,77.0,5d9b25688e606502933d4a7a
73,610e02ecfec09b71ff681d86,4.65,3.5,5.0,5.0,5.0,4.75,42.0,21.0,24.0,50.0,32.0,70.0,610e02ecfec09b71ff681d86
74,60fe2c4662ca0c1aa5e6016a,4.35,3.25,5.0,4.75,5.0,3.75,48.0,29.0,33.0,47.0,35.0,87.0,60fe2c4662ca0c1aa5e6016a
75,6116e50d7403301b8fb7c4c1,4.25,4.0,5.0,4.0,4.25,4.0,36.0,19.0,28.0,44.0,34.0,77.0,6116e50d7403301b8fb7c4c1
76,5a4ff86beedc32000141f232,4.4,4.25,4.5,5.0,4.25,4.0,44.0,22.0,27.0,47.0,32.0,74.0,5a4ff86beedc32000141f232
77,5de1ac810f8b6721970ab78a,1.35,1.25,2.0,1.0,1.25,1.25,39.0,26.0,29.0,38.0,42.0,89.0,5de1ac810f8b6721970ab78a
78,610049da8150fc6d3e6d6edc,4.5,4.0,5.0,4.75,4.75,4.0,43.0,28.0,31.0,45.0,38.0,77.0,610049da8150fc6d3e6d6edc
79,6119d9f5a882080ef1c9e9e6,3.6,3.5,3.5,4.0,3.5,3.5,42.0,23.0,28.0,41.0,34.0,79.0,6119d9f5a882080ef1c9e9e6
80,5aabd17644adc700014c8621,3.9,2.75,4.0,4.25,4.25,4.25,40.0,24.0,34.0,48.0,39.0,87.0,5aabd17644adc700014c8621
81,614e2b2bd900d5f91096ac12,3.55,3.25,3.5,4.0,4.0,3.0,39.0,21.0,25.0,49.0,33.0,72.0,614e2b2bd900d5f91096ac12
82,6154d20a40852bcd6ed5a3ec,4.75,5.0,5.0,5.0,4.5,4.25,47.0,24.0,31.0,47.0,41.0,83.0,6154d20a40852bcd6ed5a3ec
83,6167007b6e2a3e28b639498e,2.8,2.25,2.75,4.25,3.0,1.75,39.0,26.0,17.0,54.0,31.0,73.0,6167007b6e2a3e28b639498e
84,61087a3ac7ca8020fdbd4a5e,3.65,3.0,4.5,3.5,4.0,3.25,31.0,28.0,27.0,35.0,35.0,71.0,61087a3ac7ca8020fdbd4a5e
85,60fe08c2a3265b507a3861d4,4.35,4.25,4.25,4.5,4.75,4.0,39.0,19.0,31.0,49.0,37.0,81.0,60fe08c2a3265b507a3861d4
86,61639a7f700f7e698c6cd028,4.3,4.75,4.25,5.0,3.5,4.0,46.0,21.0,26.0,47.0,25.0,62.0,61639a7f700f7e698c6cd028
87,61539f48d20e1e5f4d9196b2,3.45,3.25,3.75,3.25,4.25,2.75,39.0,26.0,29.0,48.0,31.0,77.0,61539f48d20e1e5f4d9196b2
88,6170ca1921209ae902c51db7,3.6,2.5,3.5,3.75,4.5,3.75,36.0,22.0,28.0,45.0,31.0,75.0,6170ca1921209ae902c51db7
89,5ea3a20ac30a773368592f9e,4.6,4.25,4.75,5.0,5.0,4.0,41.0,19.0,22.0,47.0,36.0,74.0,5ea3a20ac30a773368592f9e
90,615630f6686c2ea1a0766e23,4.3,4.5,4.75,4.5,4.25,3.5,46.0,19.0,28.0,45.0,31.0,74.0,615630f6686c2ea1a0766e23
91,6158d01f302cf46b673dd597,3.9,3.75,4.75,3.75,3.75,3.5,37.0,19.0,22.0,47.0,35.0,66.0,6158d01f302cf46b673dd597
92,611130b78c077f0127a0b9fc,3.95,3.5,4.25,3.75,4.25,4.0,39.0,18.0,32.0,47.0,25.0,71.0,611130b78c077f0127a0b9fc
93,564d1fedb48dec0005b5191d,2.3,1.0,2.0,2.5,2.5,3.5,34.0,22.0,23.0,36.0,32.0,84.0,564d1fedb48dec0005b5191d
94,610a461594c84308409d30ca,3.15,3.25,4.0,4.0,1.75,2.75,35.0,22.0,28.0,43.0,32.0,78.0,610a461594c84308409d30ca
95,613b72a496d8d5b99cecb888,3.35,3.25,2.75,4.0,4.25,2.5,39.0,23.0,29.0,38.0,37.0,85.0,613b72a496d8d5b99cecb888
96,5f21d57a48386f1550a2e7c2,2.8,2.25,3.5,3.5,1.5,3.25,23.0,23.0,31.0,34.0,32.0,76.0,5f21d57a48386f1550a2e7c2
97,5d57f9cdedef630016280505,4.7,4.0,4.5,5.0,5.0,5.0,55.0,24.0,28.0,48.0,31.0,76.0,5d57f9cdedef630016280505
98,61095a40919bbd3c8637052e,3.75,3.5,3.75,4.0,3.5,4.0,41.0,25.0,32.0,50.0,35.0,78.0,61095a40919bbd3c8637052e
99,615f87082ac0e636b68e06af,3.15,3.25,3.25,4.0,2.0,3.25,25.0,26.0,29.0,43.0,33.0,74.0,615f87082ac0e636b68e06af
100,6157fcfbf6d62c2b3bf574da,4.1,3.25,4.25,4.75,4.5,3.75,46.0,24.0,36.0,38.0,33.0,87.0,6157fcfbf6d62c2b3bf574da
101,614f0cfd6a0b72631a010f7a,3.35,1.5,3.75,3.5,4.0,4.0,26.0,24.0,29.0,46.0,34.0,77.0,614f0cfd6a0b72631a010f7a
102,615d051e2366aeb051acb734,2.95,3.0,1.5,4.25,2.75,3.25,36.0,25.0,29.0,45.0,31.0,81.0,615d051e2366aeb051acb734
103,6150842d1d21ce2cf9f024e5,4.2,3.75,4.5,4.0,5.0,3.75,43.0,25.0,28.0,51.0,34.0,80.0,6150842d1d21ce2cf9f024e5
104,60f76003b80ed2391faccd28,5.0,5.0,5.0,5.0,5.0,5.0,51.0,18.0,25.0,51.0,25.0,72.0,60f76003b80ed2391faccd28
105,5fba9fdd33207faa35f61df3,2.5,3.0,1.5,3.5,1.5,3.0,34.0,21.0,25.0,44.0,31.0,78.0,5fba9fdd33207faa35f61df3
106,5dea5ba4446c901777bde897,3.6,3.25,5.0,3.5,3.5,2.75,35.0,26.0,31.0,54.0,30.0,77.0,5dea5ba4446c901777bde897
107,60fefab902f96c16ff088bf9,3.8,3.0,2.75,4.75,4.75,3.75,42.0,22.0,31.0,46.0,35.0,81.0,60fefab902f96c16ff088bf9
108,6150840e2b45145c1520efeb,3.45,3.5,4.0,2.75,3.75,3.25,45.0,21.0,30.0,44.0,39.0,87.0,6150840e2b45145c1520efeb
109,61085e891d3bd996cecb9f3e,4.05,4.25,4.25,4.0,4.0,3.75,37.0,20.0,32.0,45.0,36.0,83.0,61085e891d3bd996cecb9f3e
110,611d85eed6ae2432c258f0aa,1.45,1.25,1.0,2.75,1.25,1.0,24.0,21.0,28.0,37.0,31.0,77.0,611d85eed6ae2432c258f0aa
111,60d38bc77bf91667dce30e64,3.6,3.75,3.5,4.5,3.25,3.0,38.0,17.0,31.0,41.0,33.0,81.0,60d38bc77bf91667dce30e64
112,616a6204b989f71da0a1a889,3.4,3.25,3.5,4.0,3.25,3.0,39.0,23.0,28.0,43.0,34.0,79.0,616a6204b989f71da0a1a889
113,60a325e8635aef48f32a81d1,3.85,4.25,4.25,4.75,2.0,4.0,41.0,21.0,27.0,43.0,30.0,70.0,60a325e8635aef48f32a81d1
114,617091f4a8324834338a8c26,4.4,2.75,5.0,4.75,4.75,4.75,30.0,26.0,27.0,44.0,34.0,72.0,617091f4a8324834338a8c26
115,5d923c2e235f4b0017f269c2,1.85,2.0,1.5,3.25,1.5,1.0,31.0,22.0,30.0,42.0,38.0,82.0,5d923c2e235f4b0017f269c2
116,5e555e3152f93b5508f5bc16,4.75,4.5,5.0,5.0,5.0,4.25,42.0,20.0,33.0,48.0,34.0,80.0,5e555e3152f93b5508f5bc16
117,615081c7ccbaea1db00d8e0c,4.35,3.25,4.75,4.5,4.5,4.75,44.0,26.0,26.0,40.0,27.0,69.0,615081c7ccbaea1db00d8e0c
118,5d89106d1719af0001ee23e5,4.1,3.75,3.75,4.25,4.5,4.25,42.0,18.0,27.0,51.0,31.0,76.0,5d89106d1719af0001ee23e5
119,6107a25136150db75b9219ab,4.15,3.25,4.75,4.0,4.25,4.5,47.0,20.0,29.0,47.0,35.0,79.0,6107a25136150db75b9219ab
120,5c40bb8880392f00015e8910,3.85,3.0,4.25,4.0,4.5,3.5,40.0,22.0,23.0,40.0,31.0,75.0,5c40bb8880392f00015e8910
121,61042ac491305753cd36f6fa,4.1,3.5,4.75,4.5,4.0,3.75,40.0,21.0,33.0,42.0,37.0,80.0,61042ac491305753cd36f6fa
122,5d88db42c1d06e001a1fdcab,3.85,3.5,4.0,4.5,3.25,4.0,43.0,19.0,29.0,49.0,28.0,77.0,5d88db42c1d06e001a1fdcab
123,6143af8721d1445864c4f6c8,4.5,4.5,4.75,4.75,4.25,4.25,42.0,21.0,26.0,50.0,31.0,69.0,6143af8721d1445864c4f6c8
124,6175cd66d18e9a9c590885e4,4.4,4.25,4.25,5.0,4.5,4.0,47.0,17.0,23.0,46.0,27.0,73.0,6175cd66d18e9a9c590885e4
125,614f5c2c9680e609fa6d8278,3.8,4.25,4.5,4.25,3.75,2.25,39.0,23.0,26.0,45.0,32.0,71.0,614f5c2c9680e609fa6d8278
126,56514c84715ff50011a43878,4.35,3.75,5.0,4.25,5.0,3.75,35.0,19.0,27.0,46.0,34.0,68.0,56514c84715ff50011a43878
127,617175bc661c4fb400cc7782,3.9,4.0,5.0,5.0,2.25,3.25,42.0,21.0,17.0,57.0,39.0,71.0,617175bc661c4fb400cc7782
128,60fd55347ecf24cea79829f8,4.4,4.25,5.0,5.0,4.25,3.5,43.0,21.0,27.0,43.0,35.0,73.0,60fd55347ecf24cea79829f8
129,60fe3a34f7f4d5e48ad56af2,4.15,3.75,4.5,4.75,4.75,3.0,37.0,26.0,32.0,36.0,31.0,71.0,60fe3a34f7f4d5e48ad56af2
130,61329758a6a8f07ab3d640cf,2.65,3.5,3.0,3.0,1.0,2.75,43.0,26.0,28.0,46.0,29.0,75.0,61329758a6a8f07ab3d640cf
131,5bedf436d9949b00013813fd,3.4,4.0,4.0,4.25,1.5,3.25,40.0,20.0,31.0,49.0,37.0,79.0,5bedf436d9949b00013813fd
132,607ba9f40639e8a2c931d622,3.35,2.75,3.25,3.75,4.25,2.75,33.0,19.0,29.0,41.0,38.0,81.0,607ba9f40639e8a2c931d622
