"","subject","clipnum","rep","outcome_type","familiarity","familiarity_scaled","rep_scaled"
"1","54849ec4fdf99b0379939d1d",11,2,"Original",5,0.593459486318681,-0.770179035537944
"2","54849ec4fdf99b0379939d1d",11,2,"Altered",6,1.18957564389154,-0.770179035537944
"3","54849ec4fdf99b0379939d1d",12,8,"Original",4,-0.00265667125418142,0.385089517768972
"4","54849ec4fdf99b0379939d1d",12,8,"Altered",4,-0.00265667125418142,0.385089517768972
"5","54849ec4fdf99b0379939d1d",13,2,"Original",5,0.593459486318681,-0.770179035537944
"6","54849ec4fdf99b0379939d1d",13,2,"Altered",5,0.593459486318681,-0.770179035537944
"7","54849ec4fdf99b0379939d1d",16,4,"Original",3,-0.598772828827044,-0.385089517768972
"8","54849ec4fdf99b0379939d1d",16,4,"Altered",5,0.593459486318681,-0.385089517768972
"9","54849ec4fdf99b0379939d1d",17,0,"Original",3,-0.598772828827044,-1.15526855330692
"10","54849ec4fdf99b0379939d1d",17,0,"Altered",2,-1.19488898639991,-1.15526855330692
"11","54849ec4fdf99b0379939d1d",18,16,"Original",6,1.18957564389154,1.92544758884486
"12","54849ec4fdf99b0379939d1d",18,16,"Altered",6,1.18957564389154,1.92544758884486
"13","54849ec4fdf99b0379939d1d",19,16,"Original",6,1.18957564389154,1.92544758884486
"14","54849ec4fdf99b0379939d1d",19,16,"Altered",6,1.18957564389154,1.92544758884486
"15","54849ec4fdf99b0379939d1d",20,4,"Original",6,1.18957564389154,-0.385089517768972
"16","54849ec4fdf99b0379939d1d",20,4,"Altered",6,1.18957564389154,-0.385089517768972
"17","54849ec4fdf99b0379939d1d",21,0,"Original",4,-0.00265667125418142,-1.15526855330692
"18","54849ec4fdf99b0379939d1d",21,0,"Altered",3,-0.598772828827044,-1.15526855330692
"19","54849ec4fdf99b0379939d1d",22,8,"Original",6,1.18957564389154,0.385089517768972
"20","54849ec4fdf99b0379939d1d",22,8,"Altered",6,1.18957564389154,0.385089517768972
"21","559b1e92fdf99b426abb6227",11,16,"Original",4,-0.00265667125418142,1.92544758884486
"22","559b1e92fdf99b426abb6227",11,16,"Altered",3,-0.598772828827044,1.92544758884486
"23","559b1e92fdf99b426abb6227",12,8,"Original",4,-0.00265667125418142,0.385089517768972
"24","559b1e92fdf99b426abb6227",12,8,"Altered",3,-0.598772828827044,0.385089517768972
"25","559b1e92fdf99b426abb6227",13,16,"Original",2,-1.19488898639991,1.92544758884486
"26","559b1e92fdf99b426abb6227",13,16,"Altered",3,-0.598772828827044,1.92544758884486
