"","Stimulus","Label","SongTitle","Act","AlbumTitle","Year","OriginalDrummer","StartTime","Audiofile","PerceivedComplexity","SE_Down","SE_Up","Set","OnsetsTotal","OnsetsBassDrum","OnsetsSnareDrum","OnsetsCymbals","Duration","LoudnessRMS","InitialTempoBPM","FinalTempoBPM","TempoDriftBPM","AbsoluteTempoDriftBPM","MicrotimingSecondsSD","MicrotimingBeatsSD","tert"
"1",1,"L","A Kind Of Magic","Queen","A Kind of Magic",1986,"Roger Taylor",26,"01_TayR_2.mp3",0.4,NA,0.291059896884122,"B",58,17,8,33,8.802,-24.14,130.13,130.26,0.129999999999995,0.129999999999995,0.0032,0.007,"Low"
"2",2,"f","(Sittin' On) The Dock Of The Bay","Otis Redding","The Dock Of The Bay",1967,"Al Jackson Jr.",28,"02_JacA_2.mp3",0.407778161916377,0.291059896884122,0.258291468961341,"A",54,13,8,33,10.8,-27.58,103.69,104.04,0.350000000000009,0.350000000000009,0.0082,0.0142,"Low"
"3",3,"a","Smells Like Teen Spirit","Nirvana","Nevermind",1991,"Dave Grohl",34,"03_GroD_3.mp3",0.475759742261124,0.25829146896134,0.253982897924031,"B",58,17,8,33,9.788,-24.07,116.32,115.45,-0.86999999999999,0.86999999999999,0.0048,0.0094,"Low"
"4",4,"l","Boogie Wonderland","Earth, Wind & Fire","I Am",1978,"Ralph Johnson",32,"04_JohR_2.mp3",0.572950158352965,0.253982897924031,0.289309003950382,"A",57,17,8,32,8.84,-24.01,131.25,130.63,-0.620000000000005,0.620000000000005,0.0078,0.0171,"Low"
"5",5,"C","Vultures","John Mayer","Continuum",2005,"Steve Jordan",1,"05_JorS_2.mp3",0.784359274119767,0.289309003950382,0.247814806090028,"A",52,11,8,33,11.41,-24.34,97.51,97.91,0.399999999999991,0.399999999999991,0.0082,0.0133,"Low"
"15",15,"h","Discipline","Nine Inch Nails","The Slip",2008,"Josh Freese",55,"15_FreJ_5.mp3",2.09115160094271,0.205548920567393,0.244469238724549,"A",62,21,8,33,9.378,-22.76,122.01,122.1,0.0899999999999892,0.0899999999999892,0.0048,0.0097,"Intermediate"
"16",16,"J","Pass The Peas","The J.B.'s","Food For Thought",1971,"Jabo Starks",17,"16_StaJ_4.mp3",2.1506473047033,0.244469238724551,0.249761434215651,"A",58,5,20,33,11.31,-28.44,99.71,100.45,0.740000000000009,0.740000000000009,0.0186,0.031,"Intermediate"
"17",17,"b","The Pump","Jeff Beck","There & Back",1980,"Simon Phillips",242,"17_PhiS_5.mp3",2.18884352928625,0.249761434215652,0.203938707928428,"B",58,17,11,30,15.975,-21.4,86.8,88.95,2.15000000000001,2.15000000000001,0.0104,0.0152,"Intermediate"
"18",18,"o","Roxanne","The Police","Outlandos d'Amour",1978,"Stewart Copeland",62,"18_CopS_1.mp3",2.21600863813865,0.203938707928428,0.248775776924681,"A",62,23,8,31,11.821,-22.63,136.32,138.39,2.06999999999999,2.06999999999999,0.0066,0.0151,"Intermediate"
"19",19,"H","Dreamin'","Loleatta Holloway","Loleatta",1976,"Earl Young",20,"19_YouE_5.mp3",2.41311954168629,0.248775776924683,0.248998875138021,"B",65,17,8,40,12.997,-28.23,118.35,119.28,0.930000000000007,0.930000000000007,0.0099,0.0198,"Intermediate"
"28",28,"p","Alone + Easy Target","Foo Fighters","Foo Fighters",1994,"Dave Grohl",22,"28_GroD_5.mp3",3.13038201762356,0.211644469810592,0.213558202058586,"B",47,17,13,17,12.109,-23.14,133.13,131.61,-1.51999999999998,1.51999999999998,0.0103,0.0227,"High"
"31",31,"A","Diggin' On James Brown","Tower Of Power","Soul Vaccination Live",1998,"David Garibaldi",8,"31_GarD_5.mp3",3.31385354362025,0.218498122016154,0.218624234300359,"A",45,9,6,30,9.236,-24.51,128.69,130.61,1.92000000000002,1.92000000000002,0.0093,0.0201,"High"
"37",37,"K","Cold Sweat","James Brown","Cold Sweat",1967,"Clyde Stubblefield",8,"37_StuC_4.mp3",3.76275564524965,0.224858353627163,0.229180239721635,"A",60,15,12,33,10.148,-27.16,111.66,111.75,0.0900000000000034,0.0900000000000034,0.0093,0.0172,"High"
"38",38,"S","Hyperpower","Nine Inch Nails","Year Zero",2006,"Josh Freese",0,"38_FreJ_4.mp3",3.90190276886636,0.229180239721636,0.242332227623357,"A",85,25,27,33,16.262,-19.66,86,86.01,0.0100000000000051,0.0100000000000051,0.001,0.0011,"High"
"39",39,"E","Rock Steady","Aretha Franklin","Young, Gifted And Black",1971,"Bernard Purdie",150,"39_PurB_5.mp3",4.39399600194925,0.242332227623357,0.261197134201339,"A",92,25,31,36,13.964,-22.6,104.27,108.16,3.89,3.89,0.0126,0.0223,"High"
